name,formal_language,regex,config,R,CRasp,Rinf,R_G
991,(a^*cb+ca+b+a)c+a^*c^*c^*+(b+a)^*(a)^*b^*ac+(b)a^*c,(a*cb|ca|b|a)c|a*c*c*|(b|a)*(a)*b*ac|(b)a*c,2l4h256d,False,False,False,False
997,a^*+(aa+a+c)(a)(b)^*b+(b+a)^*(a)bba,a*|(aa|a|c)(a)(b)*b|(b|a)*(a)bba,2l4h64d,False,False,False,False
126,(abb+b)(ba+c+c)(c+a)+(b)(a+b)^*+(c)b^*c^*+(a)^*a^*a,(abb|b)(ba|c|c)(c|a)|(b)(a|b)*|(c)b*c*|(a)*a*a,2l1h16d,True,True,True,True
18,(b^*cc+bb+b+a)(ca+b),(b*cc|bb|b|a)(ca|b),2l2h64d,True,True,True,True
183,(b^*b+ca+b+c)(a+a+c)^*(a+c)+(aa+c)a(a),(b*b|ca|b|c)(a|a|c)*(a|c)|(aa|c)a(a),1l1h16d,True,True,True,True
207,(a^*)^*,(a*)*,1l1h16d,True,True,True,True
470,(aca)^*(a+c+a)^*+(ba+b+a)^*cc^*c^*+(c)(b)^*b+b^*aab+b,(aca)*(a|c|a)*|(ba|b|a)*cc*c*|(c)(b)*b|b*aab|b,2l1h16d,True,True,True,True
571,(cbc)(bc)a^*(c)^*a^*ab+a^*(a+b)(c)c^*bb+c^*(c)^*a^*aa,(cbc)(bc)a*(c)*a*ab|a*(a|b)(c)c*bb|c*(c)*a*aa,2l1h64d,True,True,True,True
669,b^*(ba+c)c^*c^*+c(b+b)^*bccc+(c)a^*c^*bb+a^*c^*cc,b*(ba|c)c*c*|c(b|b)*bccc|(c)a*c*bb|a*c*cc,2l2h16d,True,True,True,True
724,b+b^*(c)(b)cca+ac^*baa+(b)^*ac+b^*cb+b+c+b,b|b*(c)(b)cca|ac*baa|(b)*ac|b*cb|b|c|b,2l1h64d,True,True,True,True
733,(acc+c+c+b)(a)(a+a)^*(a)^*bbb+(ba+a+b)+a^*ca^*aa+(b)+acc,(acc|c|c|b)(a)(a|a)*(a)*bbb|(ba|a|b)|a*ca*aa|(b)|acc,2l1h16d,True,True,True,True
853,a^*b^*+a(b+a)(a)b^*ac,a*b*|a(b|a)(a)b*ac,2l1h16dsmalllr,True,True,True,True
859,(a^*b)^*+(ac+b+a)b^*bc^*cb,(a*b)*|(ac|b|a)b*bc*cb,4l4h64d,False,False,False,False
889,(a^*ac)+c^*b(c)^*+(c+b)^*+(b)aac,(a*ac)|c*b(c)*|(c|b)*|(b)aac,1l2h16d,True,True,True,True
912,a^*+(a)^*,a*|(a)*,1l1h16d,True,True,True,True
170,(a+bb)^*a^*,(a|bb)*a*,4l4h256dsmalllr,False,False,False,True
184,(b^*bc)+(aa+c)^*,(b*bc)|(aa|c)*,4l4h64d,False,False,False,True
199,(cc+aa+a+b)(aa+b+b)^*+b^*b+(b+b)(c)aca+(a)^*acb+cab,(cc|aa|a|b)(aa|b|b)*|b*b|(b|b)(c)aca|(a)*acb|cab,4l2h256dsmalllr,False,False,False,True
243,(b+aa+b+c)^*,(b|aa|b|c)*,4l2h64d,False,False,False,True
260,b(aa+c)^*(b)(b)cca,b(aa|c)*(b)(b)cca,4l4h256dsmalllr,False,False,False,True
901,(a)+(bb)^*+a^*a^*cac,(a)|(bb)*|a*a*cac,4l1h256dsmalllr,False,False,False,True
871,(b^*cc)^*,(b*cc)*,4l1h16d,False,False,False,False
