name,source,regex,table_formal,config,best_config_larger_train,R,CRasp,Rinf,R_G
442,lower,(a|aac)*,(a + aac)*,12l12h768d,4l4h256d,False,False,False,False
523,lower,aa(c)*|acca,aa(c)* + acca,2l1h16d,2l1h16d,True,True,True,True
569,lower,(cb)*caa|b,(cb)*caa + b,1l2h16d,6l4h256dsmalllr,False,True,True,True
571,lower,(a)*caaa|c,(a)*caaa + c,4l1h16d,2l4h256d,True,True,True,True
580,lower,caaba|(a)*,caaba + (a)*,1l1h16d,6l4h64d,True,True,True,True
616,lower,((a)*bb)*,((a)*bb)*,4l4h64d,12l8h256dsmalllr,False,False,False,False
617,lower,(cc)*bac,(cc)*bac,4l1h16d,12l4h64d,False,False,False,True
667,lower,(bb)*(c)*ac,(bb)*(c)*ac,12l4h64d,None,False,False,False,True
687,lower,(b|ac|c)*,(b + ac + c)*,4l1h256d,2l4h16d,False,False,False,False
72,lower,(b)*b|aa|bba,(b)*b + aa + bba,1l1h16d,1l1h16d,True,True,True,True
763,lower,(acba)*,(acba)*,1l2h256dsmalllr,6l4h256dsmalllr,False,True,True,True
77,lower,(b|bc)*,(b + bc)*,4l4h256d,2l4h64d,False,False,False,False
771,lower,cbac(a)*,cbac(a)*,1l1h16d,6l4h64d,True,True,True,True
801,lower,(b)*cc(b)*ca,(b)*cc(b)*ca,1l1h16d,1l1h16d,True,True,True,True
818,lower,(a)*(a)*(bb)*,(a)*(a)*(bb)*,12l4h64d,6l8h64dsmalllr,False,False,False,True
826,lower,aca(a)*,aca(a)*,1l1h16d,1l1h16d,True,True,True,True
831,lower,((a)*ab)*,((a)*ab)*,4l4h256d,12l4h64d,False,False,False,False
841,lower,bcbb(bb)*,bcbb(bb)*,2l1h256dsmalllr,8l8h256dsmalllr,False,False,False,True
844,lower,baca(bc)*,baca(bc)*,1l1h16dsmalllr,1l1h64dsmalllr,False,True,True,True
855,lower,(a)*a(b|b)*,(a)*a(b + b)*,1l1h16d,1l1h16d,True,True,True,True
897,lower,(ca)*(cc)*,(ca)*(cc)*,8l8h256dsmalllr,6l4h256dsmalllr,False,False,False,True
920,lower,b|c|ac(ac)*,b + c + ac(ac)*,2l1h16d,6l4h256d,False,True,True,True
ABplus_AABB,lower,(ab|aabb)*,(ab + aabb)*,18l18h1152d,12l12h768d,False,False,False,False
ABplus_BBAA,lower,(ab|bbaa)*,(ab + bbaa)*,12l8h256dsmalllr,12l12h768d,False,True,True,True
aa,canonical,(aa)*,(aa)*,4l1h256dsmalllr,None,False,False,False,True
ab,canonical,(a+b+)+,(a+b+)+,4l2h256d,None,False,False,False,False
ab_a,canonical,(ab)+a+,(ab)^+ a^+,1l1h16d,None,False,True,True,True
ab_ab_b,canonical,(ab)+a+b+,(ab)^+ a^+ b^+,2l1h16dsmalllr,None,False,True,True,True
ab_aba,canonical,(ab)+a+b+a+,(ab)^+ a^+ b^+ a^+,2l1h64dsmalllr,None,False,True,True,True
ab_b,canonical,((ab)+b+)+,((ab)^+ b^+)^+,2l1h256d,None,False,False,False,False
ab_b_k,canonical,((ab)+b+)((ab)+b+)((ab)+b+),((ab)^+ b^+)^k,2l2h64d,None,False,True,True,True
ab_ba,canonical,(ab|ba)*,(ab + ba)*,1l1h256dsmalllr,None,False,True,True,True
ab_bab,canonical,(ab)+b(ab)+,(ab)^+ b(ab)^+,2l1h256d,None,False,True,True,True
ab_bba,canonical,(ab|bba)*,(ab + bba)*,4l1h256d,None,False,False,True,True
ab_k,canonical,(a+b+)(a+b+)(a+b+),(a+b+)^k,2l2h16dsmalllr,None,True,True,True,True
abe_b_e,canonical,(a|b|e)*be*,{abe}*be*,4l4h256d,None,False,False,False,False
dyck1,canonical,(ab)*,(ab)*,1l1h16dsmalllr,None,False,True,True,True
dyck2,canonical,(a(ab)*b)*,(a(ab)*b)*,4l1h256d,None,False,True,True,True
first,canonical,b(a|b)*,bΣ*,1l1h16d,None,True,True,True,True
last,canonical,(a|b)*b,Σ*b,4l4h256d,None,False,False,False,False
ldp1,canonical,c*a(a|b)*,"(Σ ∖ {a,b0})*a(Σ ∖ {b1})*",1l1h16d,None,True,True,True,True
ldp2,canonical,(b|d|e|x)*a(a|c|e|x)*b(a|b|c|d|x)*,"(Σ ∖ {a1,b0})*a1(Σ ∖ {a2,b1})*a2(Σ ∖ {b2})*",2l1h16d,None,True,True,True,True
lt1,canonical,(a|b)*a(a|b)*,Σ*aΣ*,1l1h16d,None,True,True,True,True
lt2,canonical,(a|b)*ab(a|b)*,Σ*abΣ*,2l1h16d,None,True,True,True,True
parity,canonical,a*(ba*ba*)*,a*(ba*ba*)*,8l4h64d,None,False,False,False,True
pt2,canonical,(a|b)*a(a|b)*b(a|b)*,Σ*aΣ*bΣ*,2l1h16d,None,True,True,True,True
rdp1,canonical,(a|c)*ab*,"(Σ ∖ {b0})*a(Σ ∖ {a,b1})*",2l2h256d,None,False,False,False,False
